Jenjang,Mata Pelajaran,Materi,Sub Materi,Link
8,IPA,Sistem Ekskresi pada Manusia,Gangguan Sistem Ekskresi,https://www.youtube.com/watch?v=w0BgJVLWF3Y&pp=ygUXR0FOR0dVQU4gU0lTVEVNIEVLU1JFU0k%3D
8,IPA,"Getaran, Gelombang, dan Bunyi",Pengertian Getaran dan Gelombang,https://www.youtube.com/watch?v=x1x71WPgy8I&pp=ygUgUGVuZ2VydGlhbiBHZXRhcmFuIGRhbiBHZWxvbWJhbmc%3D
8,IPA,"Getaran, Gelombang, dan Bunyi",Jenis-Jenis Gelombang,https://www.youtube.com/watch?v=7oMnsyLnCSo&pp=ygUVSmVuaXMtSmVuaXMgR2Vsb21iYW5n
8,IPA,"Getaran, Gelombang, dan Bunyi",Sifat Gelombang dan Bunyi,https://www.youtube.com/watch?v=hmOIacMste0&pp=ygUZU2lmYXQgR2Vsb21iYW5nIGRhbiBCdW55aQ%3D%3D
9,IPA,Sistem Reproduksi pada Manusia,Organ Reproduksi Pria dan Wanita,https://www.youtube.com/watch?v=a896ZJGRRE4&pp=ygUgT3JnYW4gUmVwcm9kdWtzaSBQcmlhIGRhbiBXYW5pdGE%3D
9,IPA,Sistem Reproduksi pada Manusia,Proses Reproduksi,https://www.youtube.com/watch?v=ncNlvWEoeNQ&t=123s&pp=ygURUFJPU0VTIFJFUFJPRFVLU0k%3D
9,IPA,Sistem Reproduksi pada Manusia,Penyakitdan Gangguan Reproduksi,https://www.youtube.com/watch?v=H1AWR0hxp6Y&pp=ygUfUGVueWFraXRkYW4gR2FuZ2d1YW4gUmVwcm9kdWtzadIHCQmLCQGHKiGM7w%3D%3D
9,IPA,Pewarisan Sifat,Gen dan Alel,https://www.youtube.com/watch?v=7aQ_vTYEdks&pp=ygUMR2VuIGRhbiBBbGVs
9,IPA,Pewarisan Sifat,Hukum Mendel,https://www.youtube.com/watch?v=Cweg3IxtT5k&pp=ygUMSHVrdW0gTWVuZGVs
9,IPA,Pewarisan Sifat,Pewarisan Sifat pada Manusia,https://www.youtube.com/watch?v=YogvpinZRC4&pp=ygUcUGV3YXJpc2FuIFNpZmF0IHBhZGEgTWFudXNpYQ%3D%3D
9,IPA,Partikel Penyusun Benda dan Perubahanya,Teori Atom,https://www.youtube.com/watch?v=L3c_9IakU3M&pp=ygULVGVvcmkgQXRvbSA%3D
9,IPA,Partikel Penyusun Benda dan Perubahanya,Struktur Atom,https://www.youtube.com/watch?v=pD3wmt9b7Cs&pp=ygUNU3RydWt0dXIgQXRvbQ%3D%3D
9,IPA,Partikel Penyusun Benda dan Perubahanya,Sistem Periodik Unsur,https://www.youtube.com/watch?v=r1PDhmHqIYY&pp=ygUdU2lzdGVtIFBlcmlvZGlrIFVuc3VyIEtFTEFTIDk%3D
9,IPA,Listrik Statis dan Dinamis,Listrik Statis,https://www.youtube.com/watch?v=H65ZcxYMSzg&pp=ygUOTGlzdHJpayBTdGF0aXM%3D
9,IPA,Listrik Statis dan Dinamis,Listrik Dinamis,https://www.youtube.com/watch?v=V-nF0cqmjgk&pp=ygUQTGlzdHJpayBEaW5hbWlzIA%3D%3D
9,IPA,Listrik Statis dan Dinamis,Rangkaian Listrik,https://www.youtube.com/watch?v=HPVWZtUIuos&pp=ygURUmFuZ2thaWFuIExpc3RyaWs%3D
9,IPA,Kemagnetan dan Pemanfaatanya,Sifat-sifat Magnet,https://www.youtube.com/watch?v=txOePkQ8kFs&pp=ygUSU2lmYXQtc2lmYXQgTWFnbmV0
9,IPA,Kemagnetan dan Pemanfaatanya,Medan Magnet,https://www.youtube.com/watch?v=f4N9Lp41IAg&pp=ygUUbWVkYW4gbWFnbmV0IGtlbGFzIDk%3D
9,IPA,Kemagnetan dan Pemanfaatanya,Pembuatan dan Penggunaan Magnet,https://www.youtube.com/watch?v=Cp-46PzT-4g&pp=ygUgUGVtYnVhdGFuIGRhbiBQZW5nZ3VuYWFuIE1hZ25ldCA%3D
9,IPA,Tata Surya,Anggota Tata Surya,https://www.youtube.com/watch?v=oDMWK9MGJH0&pp=ygUSQW5nZ290YSBUYXRhIFN1cnlh
9,IPA,Tata Surya,Pergerakan Bumi dan Bulan,https://www.youtube.com/watch?v=1yIOJkCjHTk&pp=ygUZUGVyZ2VyYWthbiBCdW1pIGRhbiBCdWxhbg%3D%3D
9,IPA,Tata Surya,Gerhana dan Pasang Surut,https://www.youtube.com/watch?v=-4JTm5837YI&pp=ygUZR2VyaGFuYSBkYW4gUGFzYW5nIFN1cnV0IA%3D%3D
9,IPA,Tanah dan Keberlangsungan Kehidupan,Proses Pembentukan Tanah,https://www.youtube.com/watch?v=5OqFIIplqgo&pp=ygUZUHJvc2VzIFBlbWJlbnR1a2FuIFRhbmFoIA%3D%3D
9,IPA,Tanah dan Keberlangsungan Kehidupan,Jenis-jenis Tanah,https://www.youtube.com/watch?v=dzHk1fvag18&pp=ygUSSmVuaXMtamVuaXMgVGFuYWgg0gcJCYsJAYcqIYzv
9,IPA,Tanah dan Keberlangsungan Kehidupan,Pelestarian Tanah,https://www.youtube.com/watch?v=jou2YyJOMxo&pp=ygUSUGVsZXN0YXJpYW4gVGFuYWgg
9,IPA,Perkembangan Ilmu Pengetahuan dan Teknologi,Dampak Iptek dalam Kehidupan,https://www.youtube.com/watch?v=iYpWUSByL8w&pp=ygUcRGFtcGFrIElwdGVrIGRhbGFtIEtlaGlkdXBhbg%3D%3D
9,IPA,Perkembangan Ilmu Pengetahuan dan Teknologi,Teknologi Ramah Lingkungan,https://www.youtube.com/watch?v=EX7yKI6bL9g&pp=ygUbVGVrbm9sb2dpIFJhbWFoIExpbmdrdW5nYW4g
10,Fisika,Pengukuran,Besaran dan Satuan,https://www.youtube.com/watch?v=gktHsmDjQEM&list=PLovW1TU0Q47yMBBQKezzFp8i5r8DNLs5H
10,Fisika,Pengukuran,Alat Ukur dan Ketelitian,https://www.youtube.com/watch?v=KPEO3G0XNKs&pp=ygUYQWxhdCBVa3VyIGRhbiBLZXRlbGl0aWFu
10,Fisika,Pengukuran,Kesalahan Pengukuran,https://www.youtube.com/watch?v=6ZioD1WwRuc&list=PLog6_k-sWUcCE-yz5dTxLl8jG2xKSRZ5t
10,Fisika,Gerak Lurus,"Konsep Gerak, Jarak & Perpindahan",https://www.youtube.com/watch?v=ZfdGlH9_jaM&pp=ygUhS29uc2VwIEdlcmFrLCBKYXJhayAmIFBlcnBpbmRhaGFu
10,Fisika,Gerak Lurus,Kecepatan & Kelajuan,https://www.youtube.com/watch?v=UhxxILcof6Y&pp=ygUUS2VjZXBhdGFuICYgS2VsYWp1YW4%3D
10,Fisika,Gerak Lurus,Percepatan,https://www.youtube.com/watch?v=8OnGf30Sv_4&pp=ygUKUGVyY2VwYXRhbg%3D%3D
10,Fisika,Gerak Lurus,Grafik GLB & GLBB,https://www.youtube.com/watch?v=NqtMG00Vxoo&pp=ygURR3JhZmlrIEdMQiAmIEdMQkLSBwkJiwkBhyohjO8%3D
10,Fisika,Gerak Parabola dan Melingkar,Gerak Vertikal,https://www.youtube.com/watch?v=WjK8oaTNng0&pp=ygUOR2VyYWsgVmVydGlrYWzSBwkJiwkBhyohjO8%3D
10,Fisika,Gerak Parabola dan Melingkar,Gerak Parabola,https://www.youtube.com/watch?v=mk1j0qqhT7E&pp=ygUOR2VyYWsgUGFyYWJvbGE%3D
10,Fisika,Gerak Parabola dan Melingkar,Gerak Melingkar Beraturan,https://www.youtube.com/watch?v=Lh0j2yztNWc&pp=ygUZR2VyYWsgTWVsaW5na2FyIEJlcmF0dXJhbg%3D%3D
10,Fisika,Hukum Newton,"Hukum Newton I, II, III",https://www.youtube.com/watch?v=RKQ4LDHV6KM&pp=ygUXSHVrdW0gTmV3dG9uIEksIElJLCBJSUk%3D
10,Fisika,Hukum Newton,Penerapan Hukum Newton,https://www.youtube.com/watch?v=XS2BuADtuPY&pp=ygUWUGVuZXJhcGFuIEh1a3VtIE5ld3Rvbg%3D%3D
10,Fisika,Usaha dan Energi,Definisi Usaha & Energi,https://www.youtube.com/watch?v=fKE_dXrypOs&pp=ygUXRGVmaW5pc2kgVXNhaGEgJiBFbmVyZ2k%3D
10,Fisika,Usaha dan Energi,Energi Potensial & Kinetik,https://www.youtube.com/watch?v=TQaiL0u-R5Q&pp=ygUaRW5lcmdpIFBvdGVuc2lhbCAmIEtpbmV0aWs%3D
10,Fisika,Usaha dan Energi,Hukum Kekekalan Energi Mekanik,https://www.youtube.com/watch?v=RfmtqxygTY4&pp=ygUeSHVrdW0gS2VrZWthbGFuIEVuZXJnaSBNZWthbmlr
10,Fisika,Momentum dan Impuls,Momentum,https://www.youtube.com/watch?v=l6SVStydZT4&pp=ygUITW9tZW50dW0%3D
10,Fisika,Momentum dan Impuls,Impuls,https://www.youtube.com/watch?v=l6SVStydZT4&pp=ygUITW9tZW50dW0%3D
10,Fisika,Momentum dan Impuls,Tumbukan,https://www.youtube.com/watch?v=kiul14nhIfo&pp=ygUIVHVtYnVrYW4%3D
10,Fisika,Fluida Statis,Tekanan Hidrostatis,https://www.youtube.com/watch?v=MCx4x8qGmkc&pp=ygUTVGVrYW5hbiBIaWRyb3N0YXRpc9IHCQmLCQGHKiGM7w%3D%3D
10,Fisika,Fluida Statis,Hukum Pascal & Archimedes,https://www.youtube.com/watch?v=hqC3yhNnLGs&pp=ygUZSHVrdW0gUGFzY2FsICYgQXJjaGltZWRlcw%3D%3D
11,Fisika,Fluida Dinamis,Debit & Kontinuitas,https://www.youtube.com/watch?v=i94bqmv86jY&pp=ygUTRGViaXQgJiBLb250aW51aXRhcw%3D%3D
11,Fisika,Fluida Dinamis,Hukum Bernoulli,https://www.youtube.com/watch?v=iFkZoQ4pqIM&pp=ygUPSHVrdW0gQmVybm91bGxp
11,Fisika,Suhu dan Kalor,"Pengertian Suhu, Termometer",https://www.youtube.com/watch?v=UmTJ_0BNN9M&pp=ygUbUGVuZ2VydGlhbiBTdWh1LCBUZXJtb21ldGVy
11,Fisika,Suhu dan Kalor,Kalor & Perpindahannya,https://www.youtube.com/watch?v=otox7jN_CXU&list=PLovW1TU0Q47xPAcE4ZscsL_VhBm_2V8Zl
11,Fisika,Suhu dan Kalor,Kapasitas Kalor & Kalor Jenis,https://www.youtube.com/watch?v=7zHqqGnP-Wk&pp=ygUdS2FwYXNpdGFzIEthbG9yICYgS2Fsb3IgSmVuaXM%3D
11,Fisika,Suhu dan Kalor,Asas Black,https://www.youtube.com/watch?v=MLbem0WLTrQ&pp=ygUKQXNhcyBCbGFjaw%3D%3D
11,Fisika,Teori Kinetik Gas,Hukum Gas Ideal,https://www.youtube.com/watch?v=kwNhd1hb0cs&pp=ygUPSHVrdW0gR2FzIElkZWFs
11,Fisika,Teori Kinetik Gas,Persamaan Gas Ideal,https://www.youtube.com/watch?v=aK_qcR5VGJw&pp=ygUTUGVyc2FtYWFuIEdhcyBJZGVhbA%3D%3D
11,Fisika,Gelombang Mekanik,Jenis Gelombang,https://www.youtube.com/watch?v=7oMnsyLnCSo&pp=ygUPSmVuaXMgR2Vsb21iYW5n
11,Fisika,Gelombang Mekanik,Karakter Gelombang,https://www.youtube.com/watch?v=qIo1HiX8vhc&pp=ygUSS2FyYWt0ZXIgR2Vsb21iYW5n0gcJCYsJAYcqIYzv
11,Fisika,Gelombang Mekanik,"Interferensi, Difraksi, Resonansi",https://www.youtube.com/watch?v=mkMb6hkk-VY&pp=ygUhSW50ZXJmZXJlbnNpLCBEaWZyYWtzaSwgUmVzb25hbnNp
11,Fisika,Bunyi,Sifat-sifat Bunyi,https://www.youtube.com/watch?v=zTehAP1I_uQ&pp=ygURU2lmYXQtc2lmYXQgQnVueWk%3D
11,Fisika,Bunyi,Resonansi Bunyi,https://www.youtube.com/watch?v=nQ7uLjRDMBc&pp=ygUPUmVzb25hbnNpIEJ1bnlp
11,Fisika,Bunyi,Efek Doppler,https://www.youtube.com/watch?v=9yOz5GpQ9pE&pp=ygUMRWZlayBEb3BwbGVy
11,Fisika,Cahaya,Hukum Pemantulan & Pembiasan,https://www.youtube.com/watch?v=stNsSMtOta8&pp=ygUcSHVrdW0gUGVtYW50dWxhbiAmIFBlbWJpYXNhbg%3D%3D
11,Fisika,Cahaya,Alat Optik,https://www.youtube.com/watch?v=8AHcreGax_A&pp=ygUKQWxhdCBPcHRpaw%3D%3D
11,Fisika,Cahaya,Prisma & Dispersi Cahaya,https://www.youtube.com/watch?v=6ZzyBb75Wl8&pp=ygUYUHJpc21hICYgRGlzcGVyc2kgQ2FoYXlh
12,Fisika,Listrik Statis,Muatan & Medan Listrik,https://www.youtube.com/watch?v=OmJMFNJ1dKY&pp=ygUWTXVhdGFuICYgTWVkYW4gTGlzdHJpaw%3D%3D
12,Fisika,Listrik Statis,Hukum Coulomb,https://www.youtube.com/watch?v=JZNFwsugY0k&pp=ygUNSHVrdW0gQ291bG9tYg%3D%3D
12,Fisika,Listrik Statis,Potensial & Energi Listrik,https://www.youtube.com/watch?v=VHgJXhutCEs&pp=ygUaUG90ZW5zaWFsICYgRW5lcmdpIExpc3RyaWs%3D
12,Fisika,Listrik Dinamis,"Arus, Tegangan, Hambatan",https://www.youtube.com/watch?v=rjpr_Q-B0bk&pp=ygUYQXJ1cywgVGVnYW5nYW4sIEhhbWJhdGFu
12,Fisika,Listrik Dinamis,Hukum Ohm,https://www.youtube.com/watch?v=xt8Um5Z0oPA&pp=ygUJSHVrdW0gT2ht
12,Fisika,Listrik Dinamis,Rangkaian Seri & Paralel,https://www.youtube.com/watch?v=qbkjwlE-iwA&pp=ygUYUmFuZ2thaWFuIFNlcmkgJiBQYXJhbGVs
12,Fisika,Medan Magnet,Medan Magnet oleh Arus,https://www.youtube.com/watch?v=WdwZ_L6SgyQ&pp=ygUWTWVkYW4gTWFnbmV0IG9sZWggQXJ1cw%3D%3D
12,Fisika,Medan Magnet,Gaya Lorentz,https://www.youtube.com/watch?v=QDz0bxauFyY&pp=ygUMR2F5YSBMb3JlbnR6
12,Fisika,Medan Magnet,Hukum Faraday & Lenz,https://www.youtube.com/watch?v=BCiFgRyoQU4&pp=ygUUSHVrdW0gRmFyYWRheSAmIExlbno%3D
12,Fisika,Induksi Elektromagnetik,Arus Induksi,https://www.youtube.com/watch?v=Gcy-dC3bPZ4&pp=ygUMQXJ1cyBJbmR1a3Np
12,Fisika,Induksi Elektromagnetik,Generator & Transformator,https://www.youtube.com/watch?v=p_WP49tfzyw&pp=ygUZR2VuZXJhdG9yICYgVHJhbnNmb3JtYXRvcg%3D%3D
12,Fisika,Gelombang Elektromagnetik,Spektrum Gelombang EM,https://www.youtube.com/watch?v=ewevHncauto&pp=ygUVU3Bla3RydW0gR2Vsb21iYW5nIEVN
12,Fisika,Gelombang Elektromagnetik,Aplikasi Gelombang EM,https://www.youtube.com/watch?v=rYwIdByhfK4&pp=ygUVQXBsaWthc2kgR2Vsb21iYW5nIEVN0gcJCYsJAYcqIYzv
12,Fisika,Relativitas Khusus,Konsep Relativitas,https://www.youtube.com/watch?v=RKq4a5idghs&pp=ygUSS29uc2VwIFJlbGF0aXZpdGFz
