Jenjang,Mata Pelajaran,Materi,Sub Materi,Link
12,Kimia,Senyawa Karbon Turunan Alkana,Contoh Soal Reaksi dan Pembuatan Senyawa Karbon 2,https://youtu.be/HUkGEuHe-oo?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Sifat dan Kegunaan Senyawa Karbon Turunan Alkana,https://youtu.be/DEwUD46qTrQ?feature=shared
12,Kimia,Benzena dan Makromolekul,"Struktur, Sifat, Kegunaan, dan Pembuatan Benzena",https://youtu.be/l1iTvbjtax4?feature=shared
12,Kimia,Benzena dan Makromolekul,Tatanama Senyawa Turunan Benzena Orto Meta Para,https://youtu.be/3FgM3Fz52UY?feature=shared
12,Kimia,Benzena dan Makromolekul,Tatanama Senyawa Turunan Benzena Orto Meta Para 2,https://youtu.be/sLFQcqQcob4?feature=shared
12,Kimia,Benzena dan Makromolekul,Reaksi Adisi dan Subtitusi Benzena,https://youtu.be/3h_WBIqEDpk?feature=shared
12,Kimia,Benzena dan Makromolekul,Sifat dan Kegunaan Senyawa Turunan Benzena,https://youtu.be/k3wP8FD2xFU?feature=shared
12,Kimia,Benzena dan Makromolekul,Sifat dan Kegunaan Senyawa Turunan Benzena 2,https://youtu.be/tCuhylSrUEs?feature=shared
12,Kimia,Benzena dan Makromolekul,Definisi Polimer dan Reaksi Polimerisasi Adisi,https://youtu.be/cM6Z6GbhrrQ?feature=shared
12,Kimia,Benzena dan Makromolekul,Reaksi Polimerisasi Kondensasi,https://youtu.be/iVh0vdEaWrM?feature=shared
12,Kimia,Benzena dan Makromolekul,Penggolongan dan Sifat Polimer,https://youtu.be/0ttHTAHdtT8?feature=shared
12,Kimia,Benzena dan Makromolekul,Kegunaan Polimer,https://youtu.be/b-bPuRADNaM?feature=shared
12,Kimia,Benzena dan Makromolekul,Kode dalam Kemasan Plastik dan Dampak Penggunaan Polimer,https://youtu.be/8jeZjEKyxm8?feature=shared
12,Kimia,Benzena dan Makromolekul,Lemak,https://youtu.be/qMcm9WpYQZQ?feature=shared
12,Kimia,Benzena dan Makromolekul,Karbohidrat,https://youtu.be/o-sUAVFFZQw?feature=shared
12,Kimia,Benzena dan Makromolekul,Protein,https://youtu.be/3kybW5T76Ek?feature=shared
10,Biologi,Ruang Lingkup Biologi,Ruang Lingkup Biologi,https://youtu.be/Fz8tDvjuR8s?si=O4vg1NQ9cVM3V2VP
10,Biologi,Keanekaragaman Hayati,Keanekaragaman Hayati,https://youtu.be/0yF5yXyPMuc?si=hIu_4sNdxFUnxTjp
10,Biologi,Virus dan Bakteri,Bakteri,https://youtu.be/ZysZy1OfGII?si=Lx9n8i70LIeLc8XO
10,Biologi,Virus dan Bakteri,Bakteri 2,https://youtu.be/qQMwb7VJ-Dc?si=J1I0VGXVNiViJiSj
10,Biologi,Virus dan Bakteri,Virus,https://www.youtube.com/watch?v=8glI_X1XoBE
10,Biologi,Kingdom,Kingdom Plantae,https://www.youtube.com/watch?v=zFA563HWf8g
10,Biologi,Kingdom,Kingdom Fungi,https://www.youtube.com/watch?v=mtx7xk-7KqQ
10,Biologi,Ekosistem,Daur Biokimia,https://www.youtube.com/watch?v=Lqbwsl80pak
10,Biologi,Ekosistem,Ekosistem,https://www.youtube.com/watch?v=mNidHLThQyE
10,Biologi,Ekosistem,Piramida Ekologi dan Siklus Biokimia,https://www.youtube.com/watch?v=4cOS4J3H7gw
11,Biologi,Struktur dan Fungsi Sel,Struktur dan Organel Sel,https://www.youtube.com/watch?v=Xxm6xtjsFx0
11,Biologi,Struktur dan Fungsi Sel,Struktur dan Fungsi Sel,https://www.youtube.com/watch?v=qnXvIpbIxvY
11,Biologi,"Sintesis Protein
","Sintesis Protein
",https://app.ruangguru.com/ruangbelajar/v/sintesis-protein-subtopi-94td87uh-hr-sma-kelas-11-kurikulum-merdeka
11,Biologi,Sistem Pernapasan,Sistem Pernapasan Manusia,https://www.youtube.com/watch?v=A3xJisJaPME
11,Biologi,Sistem Pernapasan,Sistem Pernapasan,https://www.youtube.com/watch?v=mqwj6eqIyuA
11,Biologi,Sistem Pencernaan,Sistem Pencernaan,https://www.youtube.com/watch?v=N0PS9OpNgvo
11,Biologi,Sistem Saraf dan Indra,Sistem Saraf dan Indra,https://www.youtube.com/watch?v=sZFCYvLwsVk
11,Biologi,Sistem Ekskresi,Sistem Ekskresi,https://app.ruangguru.com/ruangbelajar/v/konsep-sistem-ekskresi-subtopi-cdlyk1wf-hr-sma-kelas-11-kurikulum-merdeka
11,Biologi,Sistem Reproduksi,Sistem Reproduksi,https://www.youtube.com/watch?v=0QpjmNAsjow
11,Biologi,Sistem Reproduksi,Sistem Reproduksi 2,https://app.ruangguru.com/ruangbelajar/v/kelahiran-dan-laktasi-qnwx9kxp3r-hr-sma-kelas-11-ipa
11,Biologi,Teori Evolusi,Teori Evolusi,https://app.ruangguru.com/ruangbelajar/v/teori-evolusi-subtopi-ssmumb73-hr-sma-kelas-11-kurikulum-merdeka
12,Biologi,Metabolisme & Enzim,Metabolisme & Enzim,https://www.youtube.com/watch?v=bLk8VR6k_tE
12,Biologi,,,https://www.youtube.com/watch?v=UJltOSp7eZ8
12,Biologi,Sintesis Protein,Sintesis Protein,https://www.youtube.com/watch?v=b1lrwukQyg4
12,Biologi,Sintesis Protein,Sintesis Protein 2,https://app.ruangguru.com/ruangbelajar/v/sintesis-protein-subtopi-l6hwwtsd-hr-sma-kelas-12-ipa
12,Biologi,"Materi Genetik: DNA, Gen, Kromosom","Materi Genetik: DNA, Gen, Kromosom",https://app.ruangguru.com/ruangbelajar/v/dna-gen-kromosom-subtopi-l6hwwtsd-hr-sma-kelas-12-ipa
12,Biologi,"Pembelahan Sel (Mitosis & Meiosis)
","Pembelahan Sel
",https://www.youtube.com/watch?v=MAt-PF5-E74
12,Biologi,"Pembelahan Sel (Mitosis & Meiosis)
","Pembelahan Sel 2
",https://app.ruangguru.com/ruangbelajar/v/konsep-pembelahan-sel-subtopi-105wbnp1-hr-sma-kelas-12-ipa
12,Biologi,Pewarisan Sifat & Hereditas,Pewarisan Sifat & Hereditas,https://www.youtube.com/watch?v=vuCI-VzfQdM
12,Biologi,Pertumbuhan & Perkembangan Tumbuhan,Pertumbuhan & Perkembangan Tumbuhan,https://www.youtube.com/watch?v=VchMNR8WmoY
12,Biologi,Evolusi,Teori Evolusi,https://www.youtube.com/watch?v=ZVwPrhy7oK0
12,Biologi,Evolusi,Evolusi,https://www.youtube.com/watch?v=Oez0Hy6AJvY
12,Biologi,Bioteknologi,Bioteknologi,https://www.youtube.com/watch?v=XSS18DC8abE
